name,category,coords,description
1.8k Hostel,hostel,"17.983879, 79.535834",Ramappa Hall of Residence
Ifc A,landmark,"17.983571, 79.534346",Integrated Facilities / Food Court Area A
EEE/EE Department,dept,"17.983268, 79.531921",Electrical and Electronics Engineering/Electrical Engineering Department
Civil Department,dept,"17.982807, 79.530842",Civil Engineering Department
Mechanical Department,dept,"17.983114, 79.529756",Mechanical Engineering Department
Department of CSE,dept,"17.984202, 79.531448",Computer Science and Engineering Department
ALC,landmark,"17.984326, 79.529303",Academic Learning Centre / Complex
Old Auditorium,landmark,"17.984052, 79.529267","Old Auditorium, designated as the Physical Reporting Place"
Taaza Tiffins,landmark,"17.981661, 79.529617",Breakfast and eatery spot
"Chemistry, Physics, Metallurgy Department",dept,"17.984697, 79.533635",Combined block for Science & Metallurgical Engineering departments
Chemical and Biotech Departments,dept,"17.985599, 79.533409",Chemical Engineering and Biotechnology Departments
Food Street,landmark,"17.984232, 79.532929",Campus food street zone
ECE Department,dept,"17.983828, 79.532354",Electronics and Communication Engineering Department
Stadium,landmark,"17.980637, 79.532233",Sports stadium complex
Departmental Stores,landmark,"17.985128, 79.530230",Store location for buying hostel utility items
Library,landmark,"17.984431, 79.530481",Central Library
Nescafe,landmark,"17.984243, 79.529707",Nescafe coffee kiosk
Kalam Guest House,landmark,"17.987405, 79.531416",APJ Abdul Kalam Guest House
Girls Hostel,hostel,"17.985687, 79.530846",Girls Hostel Block
NITW Dispencary,landmark,"17.981186, 79.529904",Health care Centre
Post Office,landmark,"17.987648, 79.531855",Postal services
